aX,aY,aZ,gX,gY,gZ
0.254,0.362,-0.033,8.484,-40.649,-8.911
0.226,0.311,-0.019,11.902,-41.382,-6.592
0.200,0.259,-0.003,16.479,-42.053,-2.014
0.130,0.252,-0.026,18.616,-42.053,0.305
0.090,0.251,-0.055,20.203,-40.100,7.568
0.056,0.238,-0.128,18.921,-38.269,12.634
0.048,0.243,-0.167,12.634,-33.142,25.391
0.050,0.341,-0.193,7.080,-30.457,33.569
0.117,0.446,-0.187,-0.549,-28.137,43.274
0.262,0.629,-0.210,-20.142,-23.743,68.359
0.790,1.306,-0.397,-28.870,-20.020,84.412
1.066,1.718,-0.491,-32.166,-6.226,124.084
1.389,2.356,-0.534,-24.719,2.869,146.484
1.366,2.401,-0.582,-11.902,11.536,168.945
1.220,2.291,-0.616,24.536,25.269,202.820
0.791,1.974,-0.466,45.349,28.259,209.595
0.604,1.875,-0.368,84.900,21.057,200.439
0.335,1.826,-0.436,98.877,12.939,187.622
0.261,1.819,-0.511,105.591,5.493,172.363
0.216,1.790,-0.510,94.543,-3.906,141.113
0.176,1.731,-0.372,80.688,-7.324,125.610
0.164,1.710,-0.320,51.086,-12.634,94.849
0.100,1.601,-0.263,39.246,-13.550,79.529
0.078,1.534,-0.239,24.414,-11.108,50.293
0.105,1.382,-0.177,21.423,-8.667,36.926
0.125,1.302,-0.149,20.203,-6.287,24.292
0.130,1.228,-0.133,17.639,-2.563,1.526
0.122,1.081,-0.151,14.648,-0.549,-8.301
0.136,1.017,-0.169,3.052,5.493,-24.597
0.185,0.901,-0.161,-5.371,9.644,-31.189
0.197,0.829,-0.141,-14.221,14.099,-37.109
0.191,0.750,-0.121,-28.320,22.217,-48.279
0.156,0.602,-0.088,-32.349,25.635,-53.894
0.144,0.542,-0.074,-37.292,30.945,-64.880
0.135,0.436,-0.056,-39.612,33.081,-70.068
0.134,0.388,-0.051,-44.434,36.011,-79.773
0.138,0.319,-0.049,-46.631,37.048,-84.229
0.141,0.295,-0.052,-48.645,37.781,-88.379
0.135,0.276,-0.051,-52.063,39.063,-95.703
0.121,0.234,-0.055,-53.711,39.734,-98.877
0.132,0.242,-0.036,-57.190,40.405,-103.943
0.154,0.292,-0.036,-59.387,40.161,-105.041
0.138,0.336,-0.045,-62.317,40.039,-104.675
0.124,0.455,-0.040,-61.646,40.283,-103.210
0.109,0.552,-0.035,-59.265,40.710,-100.891
0.092,0.696,-0.027,-49.072,41.321,-92.041
0.154,1.154,0.006,-41.138,41.138,-84.290
0.299,1.455,0.013,-19.714,38.452,-59.265
0.738,1.997,-0.173,-7.141,37.415,-41.321
0.876,1.997,-0.279,4.578,38.269,-20.691
0.896,1.773,-0.304,19.165,43.518,17.151
0.740,1.113,-0.090,20.996,44.556,29.297
0.640,0.827,0.044,17.700,37.903,37.598
0.354,0.430,0.144,15.320,31.250,34.424
0.223,0.342,0.113,13.550,23.987,27.649
0.151,0.293,0.060,7.690,12.634,10.986
0.109,0.245,-0.039,0.610,9.521,4.089
0.085,0.218,-0.061,-20.691,7.935,-5.493
0.030,0.137,-0.054,-32.410,8.301,-9.399
0.015,0.102,-0.054,-43.396,8.850,-13.306
0.011,0.072,-0.059,-60.486,9.583,-21.240
0.023,0.027,-0.066,-66.406,9.705,-25.085
0.031,0.015,-0.062,-73.120,9.094,-32.104
0.046,0.032,-0.042,-74.158,8.240,-35.156
0.060,0.067,-0.022,-72.388,5.066,-39.307
0.119,0.219,-0.065,-69.702,2.991,-40.039
0.173,0.339,-0.110,-65.491,1.404,-39.551
0.237,0.463,-0.160,-54.443,0.610,-34.607
0.353,0.697,-0.276,-49.072,1.160,-30.579
0.405,0.860,-0.346,-37.415,3.418,-19.470
0.623,1.242,-0.522,-30.640,5.066,-11.780
0.811,1.420,-0.600,-16.602,8.606,5.859
1.147,1.726,-0.796,-9.521,10.620,14.648
1.229,1.874,-0.905,-2.136,13.672,23.315
1.251,1.961,-0.985,15.564,23.437,39.795
1.185,1.900,-0.954,26.245,28.259,45.410
1.127,1.824,-0.856,44.922,30.334,46.387
0.958,1.689,-0.720,48.645,26.611,42.419
0.864,1.649,-0.714,47.180,20.996,36.682
0.794,1.637,-0.731,32.898,10.681,23.560
0.762,1.587,-0.722,23.254,7.507,17.334
0.769,1.532,-0.693,5.737,3.723,4.456
0.762,1.402,-0.625,-0.061,2.258,-2.747
0.755,1.333,-0.589,-3.357,0.671,-10.437
0.747,1.263,-0.558,-4.272,-2.808,-25.696
0.703,1.135,-0.509,-3.418,-4.639,-32.471
0.669,1.066,-0.485,-0.305,-7.935,-43.335
0.597,0.918,-0.430,2.319,-9.399,-47.607
0.560,0.860,-0.403,8.545,-11.475,-54.749
0.505,0.737,-0.349,10.437,-12.085,-57.434
0.488,0.673,-0.328,10.376,-12.634,-59.631
0.476,0.611,-0.315,4.456,-13.245,-63.232
0.436,0.517,-0.297,0.122,-13.245,-64.636
1.196,1.276,-0.599,-46.387,25.696,26.245
1.225,1.318,-0.654,-29.053,29.053,49.072
1.000,1.081,-0.498,-13.550,30.029,56.030
0.851,0.919,-0.372,5.798,28.137,58.716
0.722,0.786,-0.284,51.575,15.137,53.589
0.565,0.659,-0.193,74.097,6.653,47.729
0.533,0.632,-0.165,107.056,-8.484,34.546
0.514,0.566,-0.111,116.028,-14.160,28.259
0.509,0.530,-0.073,123.047,-22.400,15.991
0.507,0.481,-0.017,122.620,-25.146,10.132
0.521,0.449,0.003,119.812,-26.794,4.822
0.539,0.410,0.028,107.849,-27.039,-4.395
0.558,0.389,0.091,100.647,-26.245,-8.667
0.574,0.410,0.127,89.416,-23.804,-16.113
0.640,0.481,0.158,86.731,-22.339,-18.921
0.678,0.521,0.149,86.548,-20.447,-20.935
0.702,0.555,0.132,93.872,-14.221,-22.583
0.686,0.612,0.097,99.915,-9.583,-22.095
0.665,0.652,0.090,109.802,1.282,-17.700
0.706,0.750,0.094,111.694,7.019,-13.550
0.770,0.767,0.082,111.267,12.634,-8.240
0.825,0.757,0.045,101.868,24.963,4.700
0.827,0.709,-0.062,92.224,32.349,11.780
0.775,0.698,-0.111,65.918,49.072,27.039
0.625,0.700,-0.145,52.368,57.312,34.668
0.549,0.712,-0.136,40.588,64.270,41.565
0.478,0.737,-0.125,25.146,73.547,52.917
0.380,0.819,-0.140,21.179,76.538,57.739
0.364,0.854,-0.175,17.090,80.750,65.674
0.345,0.868,-0.290,15.930,82.397,68.115
0.302,0.883,-0.359,15.198,83.923,69.153
0.185,0.999,-0.417,15.015,85.999,67.810
0.165,1.078,-0.460,15.503,85.205,66.345
0.175,1.139,-0.522,15.015,80.383,63.782
0.213,1.219,-0.625,13.245,77.515,62.012
0.231,1.278,-0.667,8.057,71.533,56.030
0.288,1.380,-0.707,5.920,67.932,51.941
0.291,1.361,-0.715,4.089,63.599,46.997
0.260,1.308,-0.724,-1.770,51.758,33.142
0.146,1.212,-0.766,-7.080,44.678,24.597
0.114,1.174,-0.795,-22.766,29.541,7.202
0.107,1.091,-0.808,-32.227,21.912,-1.038
0.099,1.061,-0.806,-41.931,13.855,-9.094
0.079,1.042,-0.806,-57.373,-2.808,-23.376
0.048,1.005,-0.776,-61.768,-11.169,-28.992
0.066,0.986,-0.742,-65.979,-28.625,-37.109
0.126,0.961,-0.678,-67.749,-37.659,-39.551
