aX,aY,aZ,gX,gY,gZ
0.917,0.313,-0.152,-11.597,-3.723,1.587
0.906,0.306,-0.156,-9.033,-3.296,0.854
0.909,0.305,-0.155,-4.944,-1.892,0.000
0.048,1.556,1.212,-156.738,-95.459,428.711
-0.165,1.660,1.279,-164.978,-104.309,475.525
-0.750,1.774,1.197,-165.955,-104.858,496.521
-1.023,1.945,1.095,-161.072,-101.257,516.113
-1.615,2.192,0.996,-112.915,-86.670,549.683
-1.981,2.284,1.021,-59.998,-82.581,555.481
-2.261,2.324,1.037,77.087,-91.187,540.283
-2.431,2.206,0.849,127.441,-93.872,529.907
-2.518,2.161,0.628,136.230,-54.504,529.236
-2.826,2.111,0.351,106.201,-5.798,536.133
-3.059,2.065,0.396,71.472,55.725,538.574
-3.208,2.088,0.344,31.128,195.435,518.066
-3.378,2.128,0.027,31.860,274.353,500.915
-3.429,2.219,-0.176,27.100,451.294,466.675
-3.857,2.363,-0.513,-2.747,543.945,447.937
-4.000,2.410,-0.746,-53.711,635.132,421.753
-4.000,2.235,-1.093,-189.148,811.035,331.787
-3.998,2.085,-1.214,-274.658,889.343,261.719
-3.969,1.969,-1.252,-464.661,1000.671,69.092
-3.493,2.052,-1.016,-535.522,1019.714,-44.006
-3.077,2.242,-0.808,-549.133,972.534,-251.953
-2.421,2.573,-0.519,-487.305,919.250,-329.040
-2.237,2.603,-0.388,-388.000,859.436,-384.216
-2.152,2.318,-0.164,-133.850,741.577,-433.594
-2.018,2.009,-0.130,-16.052,686.279,-432.556
-1.790,1.657,-0.109,124.268,582.947,-399.231
-1.294,1.063,-0.065,140.381,533.081,-376.099
-1.069,0.895,-0.047,100.342,434.692,-330.261
-0.715,0.786,-0.090,63.599,386.719,-308.044
-0.648,0.781,-0.188,30.273,341.431,-286.194
-0.620,0.751,-0.262,5.554,264.771,-245.728
-0.597,0.608,-0.238,12.573,232.361,-228.271
-0.577,0.508,-0.229,37.415,174.133,-199.219
