aX,aY,aZ,gX,gY,gZ
-1.046,0.860,-1.114,445.496,-687.805,-140.930
-0.913,0.808,-0.998,283.508,-581.726,-156.189
-0.623,0.541,-0.757,205.017,-532.898,-151.733
-0.556,0.439,-0.625,104.431,-443.787,-141.602
-0.573,0.488,-0.339,85.999,-404.236,-138.245
-0.620,0.469,-0.212,86.914,-335.632,-131.104
-0.599,0.354,0.035,97.656,-304.443,-128.540
-0.502,0.293,0.184,111.572,-274.353,-126.831
-0.437,0.246,0.308,141.174,-218.445,-125.854
-0.429,0.164,0.438,150.879,-192.261,-125.854
-0.427,0.117,0.476,147.339,-140.442,-123.413
-0.357,0.074,0.531,133.484,-114.746,-119.568
-0.297,0.055,0.564,88.318,-64.758,-105.896
-0.224,0.061,0.659,62.561,-41.565,-97.351
-0.218,0.072,0.724,39.001,-20.447,-88.440
-0.207,0.091,0.771,9.888,14.282,-70.984
-0.140,0.151,0.749,6.104,29.724,-62.439
-0.085,0.173,0.733,11.780,59.998,-45.166
0.022,0.227,0.716,16.052,73.914,-36.194
0.045,0.249,0.706,18.005,96.497,-17.212
0.033,0.294,0.702,14.526,105.041,-7.629
0.035,0.302,0.697,8.850,111.877,1.831
0.060,0.301,0.679,-2.686,123.047,19.043
0.167,0.314,0.621,-6.531,128.479,26.672
0.217,0.338,0.596,-10.620,139.404,41.077
0.261,0.342,0.589,-11.841,144.287,47.791
0.264,0.349,0.572,-13.306,148.315,53.650
0.274,0.384,0.534,-17.273,156.006,63.599
0.322,0.449,0.460,-19.348,160.706,68.604
0.337,0.486,0.432,-21.301,171.631,78.918
0.361,0.573,0.399,-21.484,176.697,84.717
0.349,0.565,0.425,-21.851,180.786,90.576
0.323,0.546,0.452,-25.391,183.472,98.999
0.363,0.631,0.361,-27.832,183.350,101.807
0.408,0.703,0.266,-27.649,186.584,110.168
0.429,0.790,0.268,-23.804,189.453,115.479
0.395,0.796,0.296,-18.005,190.918,120.300
0.367,0.790,0.279,-1.038,190.247,125.977
0.414,0.852,0.124,9.338,190.918,127.930
0.434,0.890,0.080,26.306,196.350,134.216
0.430,0.948,0.108,29.663,198.303,138.184
0.394,0.965,0.121,29.419,198.608,141.907
0.334,0.985,0.116,21.240,196.045,147.156
0.256,1.024,0.073,15.564,194.641,148.254
0.274,1.034,0.019,12.451,195.435,147.095
0.374,1.084,-0.124,18.677,199.341,145.447
0.373,1.123,-0.147,28.931,205.566,144.287
0.309,1.141,-0.120,47.302,217.346,143.494
0.172,1.134,-0.069,49.255,220.093,142.456
0.137,1.136,-0.078,36.987,223.755,138.855
0.164,1.177,-0.147,26.855,227.783,137.390
0.157,1.192,-0.175,18.250,234.009,136.230
0.101,1.188,-0.189,14.587,248.474,131.287
-0.015,1.185,-0.200,19.165,254.395,126.343
-0.058,1.205,-0.225,29.846,262.451,113.953
-0.080,1.259,-0.307,30.212,266.296,108.337
-0.090,1.269,-0.324,25.452,271.179,103.943
-0.117,1.258,-0.302,5.005,281.006,95.398
-0.249,1.189,-0.210,-6.836,283.020,88.196
-0.284,1.162,-0.227,-26.855,279.297,64.453
-0.248,1.131,-0.406,-34.302,276.855,49.744
-0.246,1.132,-0.467,-52.612,275.269,20.813
-0.213,1.137,-0.440,-67.444,274.475,8.057
-0.189,1.153,-0.396,-85.693,272.034,-3.357
-0.173,1.167,-0.379,-118.408,260.254,-23.621
-0.165,1.180,-0.508,-125.977,252.075,-33.569
-0.177,1.172,-0.609,-116.943,237.305,-53.711
-0.221,1.141,-0.666,-103.149,230.408,-63.416
-0.205,1.135,-0.626,-71.350,211.853,-78.613
-0.131,1.103,-0.562,-57.007,199.951,-82.825
-0.115,1.086,-0.561,-44.556,187.317,-84.595
-0.103,1.074,-0.582,-26.428,163.574,-81.360
-0.088,1.025,-0.657,-19.653,153.809,-77.393
-0.092,0.991,-0.676,-5.859,137.512,-69.275
-0.149,0.946,-0.662,1.526,129.517,-66.101
-0.151,0.929,-0.642,16.968,111.816,-60.669
-0.085,0.917,-0.560,23.254,102.112,-57.556
-0.057,0.913,-0.521,26.550,91.858,-53.528
-0.045,0.902,-0.500,22.278,70.801,-43.213
-0.066,0.887,-0.532,16.357,61.218,-37.903
