aX,aY,aZ,gX,gY,gZ
0.155,0.818,-0.310,76.355,-46.753,25.085
0.157,0.928,-0.307,60.974,-43.457,32.532
0.182,0.926,-0.322,44.373,-37.476,43.640
0.264,0.955,-0.346,47.119,-35.339,44.678
0.284,0.989,-0.344,54.199,-33.875,43.823
0.302,1.003,-0.333,67.505,-33.142,40.344
0.337,0.954,-0.300,70.251,-33.508,37.781
0.362,0.928,-0.268,65.491,-34.912,31.250
0.417,0.906,-0.194,57.495,-36.255,28.320
0.426,0.913,-0.172,46.387,-37.720,26.123
0.424,0.927,-0.169,20.264,-39.612,24.414
0.442,0.953,-0.220,8.484,-38.879,24.536
0.451,0.963,-0.241,-6.958,-32.654,24.719
0.412,0.973,-0.237,-9.949,-28.931,24.048
0.393,0.979,-0.227,-9.338,-26.062,22.583
0.371,1.008,-0.211,1.404,-23.071,17.517
0.357,1.016,-0.204,8.972,-22.583,15.137
0.354,1.017,-0.198,20.386,-22.034,12.756
0.367,1.008,-0.178,21.912,-21.484,13.123
0.358,1.010,-0.162,16.724,-20.508,16.479
0.303,0.989,-0.144,12.634,-20.691,18.616
0.281,0.981,-0.147,9.766,-21.240,20.264
0.269,0.984,-0.150,11.169,-21.423,20.996
0.232,0.995,-0.142,15.076,-21.179,20.325
0.215,0.995,-0.136,25.391,-21.240,18.005
0.204,1.008,-0.135,29.968,-21.545,17.029
0.203,1.014,-0.136,33.081,-21.729,16.785
0.196,1.013,-0.133,33.386,-21.057,18.677
0.181,1.001,-0.123,30.151,-20.447,20.264
0.173,0.990,-0.124,18.738,-18.188,23.926
0.162,0.977,-0.130,12.207,-16.296,25.574
0.157,0.983,-0.129,6.104,-14.038,26.917
0.141,0.989,-0.124,-0.366,-10.315,28.198
0.117,0.969,-0.118,1.404,-9.399,27.405
0.111,0.960,-0.112,12.939,-9.399,23.010
0.096,0.961,-0.104,18.677,-9.888,20.386
0.107,0.950,-0.103,24.719,-10.132,15.564
0.104,0.952,-0.089,25.452,-9.644,13.367
0.105,0.952,-0.077,24.597,-9.094,11.536
0.118,0.948,-0.072,20.386,-8.179,9.033
0.116,0.955,-0.056,17.578,-7.812,8.240
0.110,0.957,-0.052,10.132,-7.812,6.958
0.128,0.952,-0.067,6.348,-7.568,6.226
0.122,0.968,-0.076,3.174,-6.775,5.615
0.113,0.992,-0.082,-1.099,-3.784,5.676
0.128,0.999,-0.094,-1.831,-1.648,6.287
0.131,0.998,-0.101,0.793,3.601,7.751
0.100,1.017,-0.097,3.235,6.348,8.667
0.099,1.016,-0.088,5.737,8.728,9.644
0.104,1.009,-0.084,12.390,12.268,10.437
